
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-1-1,26,16,5,19,9,-8,92,67,42,30.22,30.13,29.99,10,6,0,15,8,18,0.08,5,Fog-Snow,230<br />
2015-1-2,35,23,11,22,14,9,96,79,61,30.17,30.02,29.79,10,10,7,17,10,22,0.00,2,,203<br />
2015-1-3,35,15,-5,25,11,-7,92,77,61,30.40,30.05,29.79,10,6,0,32,12,37,0.08,6,Fog-Snow,47<br />
2015-1-4,36,13,-10,13,2,-13,91,65,38,30.51,30.42,30.20,10,10,6,15,7,19,0.00,5,,221<br />
2015-1-5,56,26,-5,34,20,-6,95,67,38,30.53,30.17,29.99,10,9,4,37,15,46,0.00,5,,278<br />
2015-1-6,49,35,20,36,29,19,92,73,53,30.64,30.35,30.22,10,8,0,30,9,39,T,6,Fog-Snow,81<br />
2015-1-7,39,27,14,25,15,11,96,83,69,30.90,30.66,30.16,10,6,1,22,8,26,T,7,Snow,125<br />
2015-1-8,49,34,19,29,23,17,92,63,34,30.45,30.21,30.00,10,7,2,23,13,27,T,6,Snow,69<br />
2015-1-9,29,22,15,24,18,13,100,91,81,30.46,30.28,29.99,10,6,0,16,5,20,T,7,Fog-Snow,88<br />
2015-1-10,56,39,22,34,26,21,100,65,30,30.05,29.95,29.85,10,8,0,17,9,20,0.00,5,Fog,206<br />
2015-1-11,40,34,27,34,27,23,85,72,59,30.29,30.07,29.85,10,10,7,17,8,20,T,7,Snow,52<br />
2015-1-12,28,25,22,24,21,20,100,89,78,30.43,30.31,30.18,10,6,0,15,9,17,T,8,Snow,39<br />
2015-1-13,32,27,22,27,23,22,96,87,78,30.39,30.26,30.15,10,4,0,12,6,14,T,8,Snow,345<br />
2015-1-14,41,30,19,25,22,17,96,74,51,30.34,30.23,30.11,10,10,10,13,6,16,0.00,2,,167<br />
2015-1-15,55,39,23,24,18,10,74,46,18,30.36,30.24,30.09,10,10,10,18,11,21,0.00,0,,177<br />
2015-1-16,60,45,30,17,11,6,58,36,13,30.14,29.91,29.75,10,10,10,28,13,33,0.00,6,,235<br />
2015-1-17,54,45,35,23,10,1,50,31,12,30.17,30.05,29.81,10,10,10,37,18,45,0.00,3,,269<br />
2015-1-18,63,50,37,22,14,-5,43,27,11,30.03,29.98,29.92,10,10,10,23,11,28,0.00,4,,236<br />
2015-1-19,58,45,31,31,25,19,76,50,24,30.04,29.98,29.93,10,10,9,20,10,26,T,5,,130<br />
2015-1-20,43,35,26,30,25,11,100,64,28,30.25,30.15,30.02,10,6,0,16,6,19,0.02,6,Fog-Snow,100<br />
2015-1-21,30,23,16,25,22,15,100,79,58,30.45,30.28,30.19,10,5,0,15,7,18,0.12,7,Fog-Snow,69<br />
2015-1-22,36,21,6,16,11,3,100,68,35,30.44,30.35,30.20,10,10,7,17,11,21,0.00,0,,202<br />
2015-1-23,46,31,16,22,15,8,73,51,28,30.30,30.24,30.15,10,10,10,18,10,22,0.00,4,,246<br />
2015-1-24,53,42,30,28,20,13,82,52,21,30.17,30.05,29.92,10,10,10,22,13,26,0.00,4,,244<br />
2015-1-25,61,44,26,28,25,23,92,59,25,30.18,30.11,30.04,10,10,10,16,9,18,0.00,3,,227<br />
2015-1-26,71,53,35,28,24,18,64,39,14,30.20,30.13,30.06,10,10,10,20,11,23,0.00,0,,206<br />
2015-1-27,75,59,42,34,25,14,53,32,11,30.10,29.96,29.86,10,10,10,23,12,26,0.00,2,,221<br />
2015-1-28,61,47,32,32,23,18,89,54,19,30.29,30.01,29.83,10,10,10,33,15,41,0.00,4,,300<br />
2015-1-29,47,39,31,31,26,23,76,59,41,30.52,30.40,30.26,10,10,10,17,9,20,0.00,7,,159<br />
2015-1-30,47,39,30,27,26,23,78,62,45,30.25,30.13,30.00,10,10,10,17,6,20,0.00,7,,302<br />
2015-1-31,38,34,29,31,28,24,92,78,64,29.99,29.87,29.80,10,6,1,23,6,29,0.08,7,Snow,336<br />
2015-2-1,29,19,8,27,17,4,92,83,74,30.30,30.15,29.96,10,7,0,24,9,32,0.07,6,Fog-Snow,62<br />
2015-2-2,52,35,17,24,20,13,84,58,32,30.09,30.02,29.89,10,10,10,22,9,25,0.00,4,,225<br />
2015-2-3,62,48,33,26,22,19,64,42,20,29.95,29.85,29.78,10,10,10,26,10,34,0.00,4,,217<br />
2015-2-4,47,35,22,31,22,18,96,69,42,30.30,30.14,29.76,10,6,0,35,11,43,0.10,7,Fog-Snow,81<br />
2015-2-5,63,43,23,24,19,14,88,51,14,30.15,30.06,29.94,10,10,10,25,11,29,0.00,5,,238<br />
